,weekday,hour,minute,Average
376,3,14,40,6.022152048079671
377,3,14,50,6.189333333333333
378,3,15,0,6.355010847403013
379,3,15,10,7.324
380,3,15,20,8.719999999999999
381,3,15,30,8.8915
382,3,15,40,9.031831186622082
383,3,15,50,8.546000000000001
384,3,16,0,8.908833333333334
385,3,16,10,8.470666666666666
386,3,16,20,8.806000000000001
387,3,16,30,9.179334019974863
388,3,16,40,9.773334064412824
389,3,16,50,9.421666666666667
390,3,17,0,9.557149606893606
391,3,17,10,9.502995981542636
392,3,17,20,9.862833333333333
393,3,17,30,9.616166666666667
394,3,17,40,9.489349681304402
395,3,17,50,9.8706572607766
396,3,18,0,10.084681894698246
397,3,18,10,10.506003242239675
398,3,18,20,10.045833333333333
399,3,18,30,9.521818689657497
400,3,18,40,9.452000986643935
401,3,18,50,9.955165618312591
402,3,19,0,9.903828523304721
403,3,19,10,10.504346437475235
404,3,19,20,10.227832536626249
405,3,19,30,9.965833931119397
406,3,19,40,10.390817161380642
407,3,19,50,10.330018680866903
408,3,20,0,9.831498397789211
409,3,20,10,9.794999999999998
410,3,20,20,9.324168089378333
411,3,20,30,9.05400161992625
412,3,20,40,9.305166014399768
413,3,20,50,9.296333333333333
414,3,21,0,10.014999001109908
415,3,21,10,10.524484222485182
416,3,21,20,11.579186714223015
417,3,21,30,11.497806012337549
418,3,21,40,10.652665620054952
419,3,21,50,10.030499007225092
420,3,22,0,10.017665667814535
421,3,22,10,9.720167798308378
422,3,22,20,9.8631817280288
423,3,22,30,10.364500000000001
424,3,22,40,11.280000258972546
425,3,22,50,12.067670502018705
426,3,23,0,12.143833333333333
427,3,23,10,12.855500000000001
428,3,23,20,13.1615
429,3,23,30,13.203999999999997
430,3,23,40,15.339166666666666
431,3,23,50,16.37966666666667
432,4,0,0,15.601833333333332
433,4,0,10,14.363999999999999
434,4,0,20,15.81417016745741
435,4,0,30,17.221833333333333
436,4,0,40,16.603
437,4,0,50,17.02733333333333
438,4,1,0,15.923135982803554
439,4,1,10,15.583026778224081
440,4,1,20,15.067666666666668
441,4,1,30,15.962666666666667
442,4,1,40,15.213336487023565
